gene	name	location	somatic	germline	tumour.type.somatic	tumour.type.germline	syndrome	tissue.type	inheritance	cancer.role	impact	chr	Mut.class	nseqs	seqlength	dN	dS	dNdS	lhM1	lhM2	lrtM1M2	padjM1M2	lhM8a	lhM8	lrtM8aM8	padjM8aM8	PSS_M2	PSS_M8	PS
NKX2-1	NK2 homeobox 1	14:36517278-36519357	yes	no	NSCLC			E	Dom	"oncogene, TSG"	A	14	somatic	25	401	0.2755	5.4769	0.05031	-5848.969583	-5848.056315	0.176537244414833	1	-5823.122293	-5820.553613	0.0234162308204391	0.134643327217525	0	1	No
NONO	"non-POU domain containing, octamer-binding"	X:71290638-71300076	yes	no	papillary renal			E	Dom	fusion	T	X	somatic	23	471	0.427	4.1522	0.10283	-7654.701661	-7654.701662	1	1	-7622.263266	-7622.263266	1	1	0	0	No
NOTCH1	"Notch homolog 1, translocation-associated (Drosophila) (TAN1)"	9:136496071-136545786	yes	no	"T-ALL, breast, bladder, skin SCC, lung SCC, head and neck SCC"			L,E	Dom/Rec	"oncogene, TSG, fusion"	"T, Mis, O"	9	somatic	24	2555	0.5547	11.4599	0.0484	-56461.842975	-56461.84335	1	1	-55621.355074	-55621.355074	1	1	0	0	No
NOTCH2	Notch homolog 2	1:119915306-120069406	yes	no	"marginal zone lymphoma, DLBCL, bladder"			L,E	Dom/Rec	"oncogene, TSG"	"N, F, Mis"	1	somatic	26	2472	0.4363	5.223	0.08354	-51358.935861	-51358.935864	1	1	-51090.765722	-51090.765722	1	1	1	7	No
NR4A3	"nuclear receptor subfamily 4, group A, member 3 (NOR1)"	9:99828041-99863867	yes	no	extraskeletal myxoid chondrosarcoma			M	Dom	"oncogene, fusion"	T	9	somatic	27	631	0.7578	5.4635	0.13871	-14940.136723	-14940.13676	1	1	-14830.283481	-14829.617568	0.248480630140327	0.911532969446039	0	1	No
NRAS	neuroblastoma RAS viral (v-ras) oncogene homolog	1:114708535-114716160	yes	no	"melanoma, MM, AML, thyroid"			L,E	Dom	oncogene	Mis	1	somatic	25	190	0.5653	6.6804	0.08462	-3299.040265	-3299.040265	1	1	-3292.090298	-3292.090298	1	1	0	0	No
NSD1	nuclear receptor binding SET domain protein 1	5:177135104-177295459	yes	no	AML			L	Dom	fusion	T	5	somatic	17	2702	0.542	2.7478	0.19725	-41657.546527	-41657.546527	1	1	-41583.647408	-41583.647408	1	1	0	1	No
NT5C2	"5'-nucleotidase, cytosolic II"	10:103089672-103174958	yes	no	relapse ALL			L	Dom	oncogene	Mis	10	somatic	23	562	0.0535	3.2423	0.01649	-7415.74642	-7415.74662	1	1	-7400.846382	-7400.846417	1	1	0	0	No
NTRK1	"neurotrophic tyrosine kinase, receptor, type 1"	1:156860935-156881642	yes	no	"papillary thyroid, Spitzoid tumour"			E	Dom	"oncogene, TSG, fusion"	"T, A"	1	somatic	22	797	0.9135	8.0525	0.11345	-19950.548127	-19935.914322	6.30406885582246e-08	1.14786587083101e-06	-19815.725183	-19815.725183	1	1	1	1	Yes
NUMA1	nuclear mitotic apparatus protein 1	11:72003527-72035943	yes	no	APL			L	Dom	fusion	T	11	somatic	26	2115	0.9548	5.8684	0.1627	-50484.977159	-50484.977158	0.998871621018033	1	-50235.018138	-50232.485637	0.0244136772408272	0.138555544860279	0	9	No
NUP98	nucleoporin 98kDa	11:3676159-3782117	yes	no	AML			L	Dom	"oncogene, fusion"	T	11	somatic	26	1818	0.421	3.3508	0.12564	-33253.065564	-33253.065564	1	1	-33161.977207	-33161.977207	1	1	0	1	No
NUTM2A	NUT family member 2A	10:87358266-87367372	yes	no	endometrial stromal sarcoma			M	Dom	fusion	T	10	somatic	14	734	2.441	4.2559	0.57355	-20337.314924	-20329.037449	4.7260459564491e-05	0.000516320520742064	-20323.864564	-20314.496632	1.50132131518932e-05	0.000211637875721849	0	3	Yes
PAFAH1B2	"platelet-activating factor acetylhydrolase, isoform Ib, beta subunit 30kDa"	11:117152449-117167700	yes	no	MLCLS			L	Dom	fusion	T	11	somatic	28	230	0.5266	12.8827	0.04087	-3999.68966	-3999.68966	1	1	-3962.214395	-3962.214395	1	1	0	0	No
PALB2	partner and localizer of BRCA2	16:23603459-23641157	no	yes		"Wilms tumour, medulloblastoma, AML ,breast"	"Fanconi anaemia N, breast cancer susceptibility"	L,O,E	Rec	TSG	"F, N, Mis"	16	germinal	21	1189	2.3812	4.6987	0.50678	-36866.719123	-36837.28756	1.68753899743024e-14	6.14545451564178e-13	-36815.989074	-36788.505214	1.22568621918617e-13	5.95138753093731e-12	3	10	Yes
PAX3	paired box gene 3	2:222201174-222298615	yes	no	alveolar rhabdomyosarcoma			M	Dom	"oncogene, fusion"	T	2	somatic	13	485	0.0506	2.8259	0.01789	-5342.572028	-5342.572064	1	1	-5333.976232	-5333.976289	1	1	0	0	No
PAX5	paired box gene 5 (B-cell lineage specific activator protein)	9:36840560-37034031	yes	no	"NHL, ALL, B-ALL"			L	Dom	"oncogene, TSG, fusion"	"T, Mis, D, F, S"	9	somatic	26	392	0.1749	3.9893	0.04384	-6615.056466	-6615.056477	1	1	-6585.670937	-6585.670937	1	1	0	0	No
PAX8	paired box gene 8	2:113218533-113278394	yes	no	follicular thyroid			E	Dom	fusion	T	2	somatic	23	458	0.2813	5.156	0.05455	-7841.148865	-7841.148974	1	1	-7797.338481	-7797.338481	1	1	0	0	No
PBRM1	polybromo 1	3:52548063-52679711	yes	no	"clear cell renal carcinoma, breast"			E	Rec	TSG	"Mis, N, F, S, D, O"	3	somatic	24	1691	0.1702	3.1368	0.05427	-23626.84044	-23626.840436	0.997743244292821	1	-23543.318768	-23543.318769	1	1	0	0	No
PBX1	pre-B-cell leukemia transcription factor 1	1:164559824-164846677	yes	no	"pre B-ALL, myoepithelioma"			L,M	Dom	"oncogene, fusion"	T	1	somatic	12	431	0.0443	2.0415	0.02171	-3448.462422	-3448.462422	1	1	-3447.85524	-3447.855238	0.998404232034963	1	0	0	No
PCM1	pericentriolar material 1  (PTC4)	8:17935611-18027662	yes	no	"papillary thyroid, CML, MPN"			E,L	Dom	fusion	T	8	somatic	25	2071	0.5716	4.3428	0.13162	-40041.771396	-40036.611085	0.0013155194598643	0.0117322857951163	-39855.849306	-39855.043113	0.204156728129867	0.803752163898666	0	7	No
PDCD1LG2	programmed cell death 1 ligand 2	9:5522547-5569959	yes	no	"PMBL, Hodgkin lymphoma"			L	Dom	"oncogene, fusion"	T	9	somatic	25	273	2.5777	5.09	0.50643	-9020.364216	-9013.37316	0.000184558180818639	0.00175330271777707	-9011.712481	-9005.929129	0.000671433303996882	0.00644947240110361	2	3	Yes
PDE4DIP	phosphodiesterase 4D interacting protein (myomegalin)	1:148889754-149031985	yes	no	MPN			L	Dom	fusion	T	1	somatic	24	2413	1.6864	5.4982	0.30672	-68852.78591	-68852.78591	1	1	-68691.302638	-68669.81581	5.54819523657102e-11	2.02046776531795e-09	7	6	Yes
PDGFB	platelet-derived growth factor beta polypeptide (simian sarcoma viral (v-sis) oncogene homolog)	22:39225723-39243963	yes	no	DFSP			M	Dom	"oncogene, fusion"	T	22	somatic	30	242	1.1908	11.4274	0.10421	-6692.408971	-6692.408971	1	1	-6607.104285	-6607.104281	0.997743244549384	1	0	0	No
PDGFRA	"platelet-derived growth factor, alpha-receptor"	4:54258769-54295272	yes	yes	"GIST, idiopathic hypereosinophilic syndrome, paediatric glioblastoma"	GIST	familial gastrointestinal stromal tumour	L,M,O	Dom	"oncogene, fusion"	"Mis, O, T"	4	som&germ	19	1090	0.2907	3.1455	0.09241	-15756.570566	-15756.570732	1	1	-15686.83356	-15686.83356	1	1	0	0	No
PDGFRB	"platelet-derived growth factor receptor, beta polypeptide"	5:150115763-150137047	yes	no	"MPN, AML, CMML, CML"			L	Dom	"oncogene, fusion"	T	5	somatic	28	1107	0.92	9.9697	0.09228	-28084.255652	-28084.255652	1	1	-27859.716185	-27859.716185	1	1	0	2	No
PER1	period homolog 1 (Drosophila)	17:8141068-8150706	yes	no	"AML, CMML"			L	Dom	"TSG, fusion"	T	17	somatic	27	1293	1.0314	8.8428	0.11664	-33547.869319	-33547.869319	1	1	-33286.783854	-33286.783854	1	1	0	3	No
PHF6	PHD finger protein 6	X:134377618-134425330	yes	no	ETP ALL			L	Rec	TSG	"F, N, S, Mis"	X	somatic	31	366	0.2493	4.5349	0.05497	-5705.824286	-5705.824286	1	1	-5666.129431	-5666.129431	1	1	0	0	No
PHOX2B	paired-like homeobox 2b	4:41745807-41748610	yes	yes	neuroblastoma	neuroblastoma	familial neuroblastoma	O	Rec	TSG	"Mis, F"	4	som&germ	13	315	0.145	2.7984	0.05182	-3281.929989	-3281.929989	1	1	-3264.002482	-3263.492973	0.312752055591326	1	0	0	No
PICALM	phosphatidylinositol binding clathrin assembly protein (CALM)	11:85959046-86068780	yes	no	"T-ALL, AML"			L	Dom	fusion	T	11	somatic	25	661	0.1881	2.7801	0.06765	-9051.809193	-9039.63534	8.04224589145974e-07	1.17148715152264e-05	-9021.156971	-9017.507845	0.00690217274003069	0.0486491852805389	1	4	Yes
PIK3CB	"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit beta"	3:138655389-138759343	yes	no	"SCC, NSCLC"			E		oncogene	Mis	3	somatic	28	1071	0.2636	4.9103	0.05367	-19538.773877	-19538.773886	1	1	-19419.915998	-19419.915997	0.998871621018033	1	0	1	No
PIK3R1	"phosphoinositide-3-kinase, regulatory subunit 1 (alpha)"	5:68226676-68297601	yes	no	"glioblastoma, ovarian, colorectal"			E,O	Rec	TSG	"Mis, F, O"	5	somatic	29	725	0.2189	4.5276	0.04836	-13247.867643	-13247.867741	1	1	-13196.190474	-13196.190474	1	1	0	0	No
PIM1	pim-1 oncogene	6:37170576-37174091	yes	no	NHL			L	Dom	"oncogene, fusion"	T	6	somatic	25	314	0.2347	5.3829	0.04361	-5011.975969	-5011.97597	1	1	-4975.779465	-4975.779465	1	1	0	0	No
PLAG1	pleiomorphic adenoma gene 1	8:56166243-56168269	yes	no	"salivary adenoma, lipoblastoma"			E	Dom	"oncogene, fusion"	T	8	somatic	30	500	0.1742	3.7707	0.04619	-8606.781103	-8606.781103	1	1	-8582.065732	-8582.065733	1	1	0	0	No
PML	promyelocytic leukemia	15:73994813-74045008	yes	no	"APL, ALL"			L	Dom	"TSG, fusion"	T	15	somatic	24	881	2.0563	10.0605	0.2044	-28973.056021	-28973.056021	1	1	-28697.044742	-28693.925871	0.0125055816857665	0.0759019332872219	2	3	No
PMS2	PMS2 postmeiotic segregation increased 2 (S. cerevisiae)	7:5973399-6009019	no	yes		"colorectal, endometrial, ovarian, medulloblastoma, glioma"	"hereditary non-polyposis colorectal cancer, Turcot syndrome"	E	Rec	TSG	"Mis, N, F"	7	germinal	23	865	1.2687	5.6275	0.22545	-23532.748418	-23521.72448	2.65933788989869e-06	3.52160805419918e-05	-23426.293818	-23418.340155	6.65207335890372e-05	0.000854987075835566	3	5	Yes
POLD1	"DNA polymerase delta 1, catalytic subunit"	19:50398852-50417947	yes	yes	CRC	CRC	Lynch syndrome	E		TSG	Mis	19	som&germ	25	1108	0.6533	11.3804	0.0574	-25070.075694	-25070.075694	1	1	-24836.971736	-24836.971737	1	1	0	2	No
POLE	"polymerase (DNA directed), epsilon, catalytic subunit"	12:132624697-132687315	yes	yes	"colorectal carcinoma, endometrioid carcinoma, stomach carcinoma, skin cancer"	colorectal cancer susceptibility		E	Rec	TSG	Mis	12	som&germ	26	2287	0.5457	7.5103	0.07266	-54062.723169	-54062.723528	1	1	-53567.247931	-53567.247931	1	1	0	3	No
POU2AF1	"POU domain, class 2, associating factor 1 (OBF1)"	11:111354261-111379177	yes	no	NHL			L	Dom	"oncogene, fusion"	T	11	somatic	24	257	0.7061	6.6353	0.10642	-6138.071762	-6128.600879	1.34769666875201e-05	0.000159173903849899	-6107.736732	-6100.473538	0.000138209973517434	0.00154866047249022	1	1	Yes
POU5F1	"POU domain, class 5, transcription factor 1"	6:31164601-31170620	yes	no	sarcoma			M	Dom	"oncogene, fusion"	T	6	somatic	21	361	1.2941	6.1861	0.20919	-9648.217139	-9648.217139	1	1	-9609.832973	-9609.832973	1	1	0	0	No
PPFIBP1	"PTPRF interacting protein, binding protein 1 (liprin beta 1)"	12:27633397-27692882	yes	no	"Spitzoid tumour, inflammatory myofibroblastic tumour"			E,M	Dom	fusion	T	12	somatic	17	1034	0.4227	4.0756	0.10372	-17714.623392	-17714.623392	1	1	-17636.511644	-17636.511644	1	1	0	0	No
PPM1D	"protein phosphatase, Mg2+/Mn2+ dependent 1D"	17:60600415-60663552	yes	no	"glioma, ovarian cancer, breast cancer"			E	Dom	oncogene	"A, Mis, N, F"	17	somatic	17	606	0.4968	3.5352	0.14053	-10081.392077	-10081.392077	1	1	-10051.764737	-10051.764737	1	1	0	0	No
PPP6C	"protein phosphatase 6, catalytic subunit"	9:125149673-125189718	yes	no	melanoma			E	Dom	TSG	"Mis, N"	9	somatic	21	306	0.0642	2.0155	0.03185	-3292.179595	-3292.179595	1	1	-3291.747465	-3291.747465	1	1	0	0	No
PRCC	papillary renal cell carcinoma (translocation-associated)	1:156767772-156800460	yes	no	papillary renal			E	Dom	fusion	T	1	somatic	26	492	0.5157	3.2057	0.16089	-9399.686744	-9399.686744	1	1	-9378.920579	-9378.920579	1	1	0	0	No
PRDM1	"PR domain containing 1, with ZNF domain"	6:106088267-106107486	yes	no	DLBCL			L	Rec	TSG	"D, N, Mis, F, S"	6	somatic	24	826	0.7259	5.926	0.1225	-18946.748354	-18946.093038	0.252280260206111	1	-18834.181436	-18833.501653	0.243612711729605	0.902192839202012	0	3	No
PRDM16	PR domain containing 16	1:3069260-3433811	yes	no	"MDS, AML"			L	Dom	"oncogene, fusion"	T	1	somatic	24	1265	0.9541	10.2433	0.09314	-32305.372042	-32305.372042	1	1	-31925.93399	-31925.933989	0.998871621018033	1	0	0	No
PREX2	"phosphatidylinositol-3,4,5-trisphosphate dependent Rac exchange factor 2"	8:67952395-68231378	yes	no	"melanoma, pancreatic ductal adenocarcinoma"			E	Dom	oncogene	"Mis, N"	8	somatic	26	1607	0.2787	5.5105	0.05057	-31242.508725	-31242.508949	1	1	-31116.929162	-31116.929162	1	1	0	1	No
PRF1	perforin 1 (pore forming protein)	10:70598053-70600902	no	yes		"various leukaemia, lymphoma"		L	Rec	TSG	M	10	germinal	31	556	2.4393	12.4046	0.19664	-24035.406806	-24018.19698	4.4421534228789e-09	1.1418947328224e-07	-23702.076267	-23698.034256	0.00446572241137144	0.0342372051538477	4	5	Yes
PRKACA	protein kinase cAMP-activated catalytic subunit alpha	19:14093112-14117547	yes	no	"fibrolamellar hepatocellular carcinoma, cortisol secreting adrenal adenoma"			E	Dom	oncogene	"T, Mis, N"	19	somatic	18	352	0.238	3.8533	0.06176	-4655.617662	-4654.393636	0.117670817767986	0.791109959455534	-4634.072626	-4632.396816	0.0671389089106367	0.329659586448856	0	2	No
PRKAR1A	"protein kinase, cAMP-dependent, regulatory, type I, alpha (tissue specific extinguisher 1)"	17:68515400-68530449	yes	yes	papillary thyroid	"myxoma, endocrine, papillary thyroid"	Carney complex	E,M	Dom/Rec	"oncogene, TSG, fusion"	"T, Mis, N, F, S"	17	som&germ	29	382	0.1483	5.7089	0.02597	-7445.46305	-7445.46305	1	1	-7431.382319	-7431.382616	1	1	0	0	No
PSIP1	PC4 and SFRS1 interacting protein 1 (LEDGF)	9:15471207-15510188	yes	no	AML			L	Dom	"oncogene, fusion"	T	9	somatic	24	531	0.3825	3.4672	0.11032	-8681.975648	-8681.975648	1	1	-8639.735081	-8639.535711	0.527740691697234	1	0	0	No
PTEN	phosphatase and tensin homolog gene	10:87864470-87965472	yes	yes	"glioma, prostate, endometrial"	"harmartoma, glioma, prostate, endometrial"	"Cowden syndrome, Bannayan-Riley-Ruvalcaba syndrome"	L,E,M,O	Dom	TSG	"D, Mis, N, F, S"	10	som&germ	15	404	0.0541	1.7712	0.03054	-3484.146657	-3484.146657	1	1	-3482.529852	-3482.529842	0.996431763625758	1	0	0	No
PTK6	protein tyrosine kinase 6	20:63529536-63537314	yes	no	"renal, gastric, head and neck, ovarian, others"			E	Dom	"oncogene, TSG"	"Mis, N"	20	somatic	25	452	1.111	9.9936	0.11117	-13139.230929	-13139.231137	1	1	-12969.330415	-12969.330415	1	1	0	0	No
PTPN11	"protein tyrosine phosphatase, non-receptor type 11"	12:112419112-112504764	yes	no	"JMML, AML, MDS"			L	Dom	oncogene	Mis	12	somatic	23	594	0.1352	4.4808	0.03018	-9318.342093	-9316.349424	0.0458978912130313	0.328809482952372	-9290.312966	-9289.604061	0.233764202884247	0.894108101913425	1	2	No
PTPN13	"protein tyrosine phosphatase, non-receptor type 13"	4:86635257-86814551	yes	yes	"lung, NSCLC, gastric, peritoneal carcinomatosis"	hepatocellular	Familial Hepatocellular Carcinoma	E	Rec	TSG	"Mis, N"	4	som&germ	27	2491	0.9849	4.6436	0.21211	-60253.204212	-60253.204212	1	1	-59998.45753	-59998.278946	0.550083278081202	1	0	3	No
PTPRB	"protein tyrosine phosphatase, receptor type, B"	12:70521489-70609814	yes	no	angiosarcoma			E	Rec	TSG	"N, Mis, S, F"	12	somatic	27	1999	0.8133	5.2105	0.15609	-48085.05808	-48059.404437	7.89812659718336e-13	2.46534380212081e-11	-47821.983312	-47814.680124	0.000132465599337661	0.0015233543923831	7	12	Yes
PTPRC	"protein tyrosine phosphatase, receptor type, C"	1:198639275-198756181	yes	no	T-ALL			L	Rec	TSG	"Mis, N, S"	1	somatic	12	1301	1.5874	4.4002	0.36077	-29593.151683	-29454.557042	0	0	-29499.815788	-29394.177642	0	0	36	52	Yes
PTPRT	"protein tyrosine phosphatase, receptor type T"	20:42080879-43189733	yes	no	"HNSCC, colorectal cancer, gastric cancer, lung cancer, melanoma"			E		TSG	"Mis, N"	20	somatic	12	1451	0.0693	3.9144	0.01771	-15238.515426	-15238.515426	1	1	-15218.683414	-15218.683449	1	1	0	0	No
RABEP1	"rabaptin, RAB GTPase binding effector protein 1"	17:5282488-5383224	yes	no	CMML			L	Dom	fusion	T	17	somatic	22	863	0.3176	3.713	0.08552	-15046.991486	-15034.12146	3.90635361058322e-07	6.09670188508882e-06	-15004.439622	-15000.74853	0.00658731280744118	0.0471910769975704	1	6	Yes
RAD21	RAD21 homolog (S. pombe)	8:116847500-116866729	yes	no	"AML, endometrium, colorectal, lung"			L,E	Rec	"oncogene, TSG"	"Mis, N, F"	8	somatic	29	632	0.181	4.9388	0.03664	-11052.092948	-11052.092948	1	1	-11023.03209	-11023.032094	1	1	0	0	No
RAD51B	RAD51 paralog B	14:67823544-68594603	yes	no	"lipoma, uterine leiomyoma"			M	Dom	"TSG, fusion"	T	14	somatic	27	295	0.9019	4.5402	0.19864	-6677.294115	-6674.887676	0.0282478310589777	0.209225460555479	-6652.658536	-6652.065656	0.276186485925458	0.989290937290371	0	1	No
RAF1	v-raf-1 murine leukemia viral oncogene homolog 1	3:12584514-12618721	yes	no	"pilocytic astrocytoma, prostate"			O,E	Dom	"oncogene, fusion"	"T, A"	3	somatic	25	649	0.1961	4.7233	0.04151	-11390.094754	-11390.094758	1	1	-11378.233558	-11378.233557	0.998871621018033	1	0	0	No
RANBP2	RAN binding protein 2	2:108719607-108783901	yes	no	inflammatory myofibroblastic tumour			M	Dom	"TSG, fusion"	T	2	somatic	26	3105	0.89	5.9628	0.14926	-74781.656059	-74774.155967	0.000107500694531804	0.00109250705838135	-74253.108406	-74253.108414	1	1	0	5	Yes
RB1	retinoblastoma gene	13:48303913-48480071	yes	yes	"retinoblastoma, sarcoma, breast, small cell lung carcinoma"	"retinoblastoma, sarcoma, breast, small cell lung carcinoma"	familial retinoblastoma	L,E,M,O	Rec	TSG	"D, Mis, N, F, S"	13	som&germ	29	928	0.4871	4.3405	0.11223	-18515.781353	-18515.781353	1	1	-18431.814031	-18431.778741	0.790494165496171	1	0	3	No
RBM10	RNA binding motif protein 10	X:47147482-47186599	yes	no	lung adenocarcinoma			E	Rec/X	TSG	"Mis, F, N"	X	somatic	25	934	0.4578	6.1808	0.07407	-17718.212687	-17718.212847	1	1	-17585.199558	-17585.199558	1	1	0	0	No
RBM15	RNA binding motif protein 15	1:110339407-110345610	yes	no	acute megakaryocytic leukaemia			L	Dom	fusion	T	1	somatic	28	971	0.2171	2.4668	0.08802	-15188.262259	-15160.765755	1.21014309684142e-13	4.0679425639977e-12	-15176.188345	-15160.454104	2.02703962504103e-08	5.21068421260546e-07	6	9	Yes
RECQL4	RecQ protein-like 4	8:144511431-144517784	no	yes		"osteosarcoma, skin basal cell, skin sqamous cell"	Rothmund-Thompson syndrome	M	Rec	"oncogene, TSG"	"N, F, S"	8	germinal	23	1244	2.2968	8.4187	0.27282	-43649.001901	-43649.001901	1	1	-43367.584357	-43359.672787	6.95467524182147e-05	0.000868340880193138	4	0	Yes
REL	v-rel reticuloendotheliosis viral oncogene homolog (avian)	2:60881841-60922535	yes	no	Hodgkin lymphoma			L	Dom	oncogene	A	2	somatic	27	595	1.1704	5.4327	0.21544	-16047.778471	-16047.778471	1	1	-15911.698044	-15910.229868	0.0866061261092304	0.39838818010246	0	0	No
RET	ret proto-oncogene	10:43077259-43128269	yes	yes	"medullary thyroid, papillary thyroid, pheochromocytoma, NSCLC, Spitzoid tumour"	"medullary thyroid,  papillary thyroid, pheochromocytoma"	multiple endocrine neoplasia 2A/2B	E,O	Dom	"oncogene, fusion"	"T, Mis, N, F"	10	som&germ	26	1113	1.1485	10.5345	0.10903	-32181.870184	-32181.870199	1	1	-31796.197176	-31796.188712	0.896481259521384	1	0	2	No
RHOA	ras homolog family member A	3:49360209-49375589	yes	no	"diffuse gastric, T cell lymphomas, paediatric Burkitt lymphoma"			E,L	Dom	"oncogene, TSG"	"Mis, F, O"	3	somatic	31	194	0.504	6.1933	0.08138	-4030.682201	-4030.682201	1	1	-4029.393619	-4029.393619	1	1	0	0	No
RHOH	ras homolog family member H	4:40243387-40243962	yes	no	NHL			L	Dom	"TSG, fusion"	T	4	somatic	29	192	0.2702	9.1341	0.02958	-4017.994987	-4017.994987	1	1	-3979.061541	-3979.061541	1	1	0	0	No
RMI2	RecQ mediated genome instability 2	16:11345472-11350790	yes	no	"PMBL, Hodgkin lymphoma"			L	Dom	"TSG, fusion"	T	16	somatic	18	149	0.7169	6.5366	0.10968	-3194.15992	-3194.15992	1	1	-3175.05624	-3175.05624	1	1	0	0	No
RNF43	ring finger protein 43	17:58354943-58415577	yes	no	"cholangiocarcinoma, ovary, pancreas"			E	Rec	TSG	"Mis, N, F, S"	17	somatic	23	784	1.168	5.3004	0.22036	-19145.207308	-19145.207308	1	1	-19050.135752	-19047.990656	0.0383328364692856	0.201824693217805	0	1	No
ROS1	v-ros UR2 sarcoma virus oncogene homolog 1 (avian)	6:117288492-117425656	yes	no	"glioblastoma, NSCLC, Spitzoid tumour, cholangiocarcinoma, borderline ovarian"			O,E	Dom	"oncogene, fusion"	T	6	somatic	25	2335	1.2858	4.9152	0.2616	-57001.077732	-57001.077732	1	1	-56807.93513	-56804.705626	0.0110391255820045	0.0709426158725876	0	2	No
RPN1	ribophorin I	3:128620411-128650800	yes	no	AML			L	Dom	fusion	T	3	somatic	25	608	0.3857	5.9579	0.06474	-11513.827977	-11513.827978	1	1	-11455.117775	-11455.117775	1	1	0	1	No
RSPO2	R-spondin 2	8:107901075-108082638	yes	no	colorectal			E	Dom	"TSG, fusion"	T	8	somatic	22	244	0.2411	4.1225	0.05847	-3601.712328	-3601.712328	1	1	-3581.603042	-3581.604737	1	1	0	0	No
RUNX1	runt-related transcription factor 1  (AML1)	21:34792135-35048899	yes	no	"AML, pre B-ALL, T-ALL"			L	Dom	"oncogene, TSG, fusion"	T	21	somatic	23	471	0.729	7.0701	0.10311	-10725.252431	-10725.252431	1	1	-10683.356418	-10682.891517	0.33491438053918	1	0	0	No
SALL4	spalt like transcription factor 4	20:51784265-51802408	yes	no	"colorectal cancer, breast cancer, prostate cancer, glioblastoma, melanoma"			E		oncogene	"Mis, F"	20	somatic	27	1056	1.2026	8.349	0.14404	-31242.314808	-31242.314849	1	1	-30899.042071	-30898.941176	0.653279872585298	1	0	1	No
SBDS	Shwachman-Bodian-Diamond syndrome protein	7:66988371-66995417	no	yes		"AML, MDS"	Schwachman-Diamond syndrome	L	Rec	TSG	"F, N, O"	7	germinal	29	251	0.4457	8.9034	0.05006	-5297.049294	-5297.049294	1	1	-5280.346648	-5280.346648	1	1	0	0	No
SDC4	syndecan 4	20:45327264-45348384	yes	no	NSCLC			E	Dom	fusion	T	20	somatic	28	202	1.649	7.5289	0.21902	-6403.557688	-6403.557688	1	1	-6339.26799	-6338.040429	0.117142067019332	0.522357992729061	0	1	No
SDHA	"succinate dehydrogenase complex, subunit A, flavoprotein (Fp)"	5:218356-256420	yes	yes	"GIST, paraganglioma"	paraganglioma	paragangliomas-5 (PGL5)	M,O	Rec	TSG	"Mis, N"	5	som&germ	27	665	0.5155	6.9698	0.07397	-16504.732792	-16504.73317	1	1	-16426.679719	-16426.679719	1	1	1	5	No
SDHAF2	succinate dehydrogenase complex assembly factor 2	11:61430147-61446071	no	yes		paraganglioma	familial paraganglioma	M	Rec	TSG	M	11	germinal	14	167	0.6377	3.5656	0.17886	-2744.40545	-2742.679007	0.0631414293342595	0.445045235791474	-2739.453385	-2737.296524	0.0378061587545294	0.201479163118651	0	0	No
SDHB	"succinate dehydrogenase complex, subunit B, iron sulfur (Ip)"	1:17018881-17054019	no	yes		"paraganglioma, pheochromocytoma"	familial paraganglioma	O	Rec	TSG	"Mis, N, F"	1	germinal	27	281	0.5943	6.4745	0.09179	-6105.996744	-6105.996744	1	1	-6069.213767	-6069.213767	1	1	0	1	No
SDHC	"succinate dehydrogenase complex, subunit C, integral membrane protein, 15kDa"	1:161314406-161362433	no	yes		"paraganglioma, pheochromocytoma"	familial paraganglioma	O	Rec	TSG	"Mis, N, F"	1	germinal	25	170	1.309	4.0347	0.32445	-4404.710955	-4404.710955	1	1	-4396.738101	-4395.079489	0.0685574998897468	0.332884749464659	0	0	No
SDHD	"succinate dehydrogenase complex, subunit D, integral membrane protein"	11:112086908-112094970	no	yes		"paraganglioma, pheochromocytoma"	familial paraganglioma	O	Rec	TSG	"Mis, N, F, S"	11	germinal	11	160	0.7601	1.9307	0.3937	-2509.266864	-2504.574078	0.0021869980496334	0.019114362953796	-2508.35631	-2502.979189	0.00104040570757269	0.0090931458841853	1	1	Yes
SET	SET translocation	9:128689583-128694664	yes	no	T-ALL			L	Dom	"oncogene, fusion"	T	9	somatic	14	290	0.4601	2.5568	0.17993	-3523.242244	-3516.137207	0.000163492892462092	0.00158769764457631	-3520.890922	-3511.514808	1.48849353989178e-05	0.000211637875721849	1	3	Yes
SETBP1	SET binding protein 1	18:44701347-45063698	yes	yes	"aCML, sAML, MDS/MPN-U, CMML, JMML"	neuroepithelial tumours	Schinzel-Giedion syndrome	L	Dom	"oncogene, fusion"	"Mis, T"	18	som&germ	27	1597	0.5327	4.3167	0.1234	-31326.129093	-31326.129093	1	1	-31166.466108	-31166.466107	0.998871621018033	1	0	0	No
SF3B1	"splicing factor 3b, subunit 1, 155kDa"	2:197392303-197434999	yes	no	myelodysplastic syndrome			L	Dom	oncogene	Mis	2	somatic	25	1305	0.0709	3.0138	0.02352	-16222.344269	-16222.344531	1	1	-16166.626605	-16166.626587	0.995212721516094	1	0	0	No
SFRP4	secreted frizzled related protein 4	7:37907479-37916537	yes	no	"colorectal cancer, melanoma, SCC, gastric cancer, oesophageal SCC"			E	Rec	TSG	Mis	7	somatic	24	347	0.5182	6.4489	0.08035	-7302.654742	-7302.654742	1	1	-7219.211153	-7219.211153	1	1	0	1	No
